"","FRP No.","FRP","infection_cpcr-d0","maturity","CW","SC","CH","holdtank","TREATMENT","lowtag","hightag","treattank","where","tube9","tube12","tube26"
"61","2017-6161",6161,0,"M","114.1","4","22.3","9A","A",3326,3536,9,"drain end","53","302","512"
"62","2017-6162",6162,1,"I","119","3","17","1C","C",3328,3510,1,"drain end","61","220","407"
"63","2017-6163",6163,1,"I","118.5","3","17.1","2C","C",3330,3409,2,"drain end","130","228","424"
"64","2017-6164",6164,1,"I","86.8","3","10.8","3C","C",3351,3580,3,"drain end","71","257","460"
"65","2017-6165",6165,0,"I","113.2","3","19.5","7A","A",3362,3539,7,"drain end","55","360","469"
"66","2017-6166",6166,0,"I","91.8","3","11.3","8A","A",3378,3534,8,"drain end","21","349","496"
"67","2017-6167",6167,0,"I","110.7","3","12.4","1C","C",3382,3481,1,"drain end","45","207","414"
"68","2017-6168",6168,1,"I","99.5","3","13.7","7A","A",3385,3554,7,"drain end","27","357","466"
"69","2017-6169",6169,1,"I","117.2","3","16.8","8A","A",3391,3550,8,"drain end","57","328","486"
"70","2017-6170",6170,1,"I","117.2","3","15.4","9A","A",3397,3553,9,"drain end","70","320","516"
"71","2017-6171",6171,0,"I","127.4","3","19.3","2C","C",3400,3464,2,"drain end","73","221","427"
"72","2017-6172",6172,0,"M","116.3","3","24.4","9A","A",3438,3457,1,"drain end","60, 100","316","517"
"73","2017-6173",6173,1,"I","95","3","14.1","1C","C",3448,3468,1,"drain end","63","210","420"
"74","2017-6174",6174,1,"I","117.4","3","15.9","2C","C",3475,3524,2,"drain end","20","233","433"
"75","2017-6175",6175,0,"I","116.4","4","19.6","3C","C",3498,3523,3,"drain end","67","246","447"
"76","2017-6176",6176,0,"M","102.3","3","20.1","8A","A",3512,3537,8,"drain end","48","329","490"
"77","2017-6177",6177,1,"I","120.2","3","17.1","3C","C",3532,3594,3,"drain end","54","250","456"
"78","2017-6178",6178,0,"M","138.6","3","30","1C","C",3544,3559,1,"drain end","124","218","410"
"79","2017-6179",6179,0,"M","117.4","4","23.2","9A","A",3561,3588,9,"drain end","34","315","515"
"80","2017-6180",6180,0,"I","125.4","3","19.5","6W","W",3610,3813,6,"anywhere","149","370","402"
"81","2017-6181",6181,0,"I","133.4","3","20.4","7A","A",3616,3846,7,"drain end","175","355","470"
"82","2017-6182",6182,1,"I","141.4","4","21.1","7A","A",3617,3831,7,"drain end","137","354","462"
"83","2017-6183",6183,1,"I","140","3","21.1","8A","A",3619,3804,8,"drain end","141","322","494"
"84","2017-6184",6184,1,"I","121.9","3","17.3","9A","A",3628,3809,9,"drain end","148","318","513"
"85","2017-6185",6185,0,"I","124.8","3","21.8","8A","A",3630,3824,8,"drain end","145","336","487"
"86","2017-6186",6186,0,"I","129.4","3","20.8","9A","A",3638,3843,9,"drain end","171","306","510"
"87","2017-6187",6187,1,"I","129.9","3","19.1","2C","C",3641,3838,2,"drain end","158","239","431"
"88","2017-6188",6188,1,"I","128.9","3","20.3","3C","C",3642,3837,3,"drain end","172","245","443"
"89","2017-6189",6189,0,"I","126.4","3","20.8","1C","C",3643,3850,1,"drain end","176","216","422"
"90","2017-6190",6190,3,"M","126.2","3","25.8","3C","C",3648,3841,1,"valve end","101","256","452"
"91","2017-6191",6191,0,"I","127.2","3","20.5","2C","C",3649,3852,2,"drain end","95","227","442"
"92","2017-6192",6192,1,"I","132.2","3","21.7","7A","A",3658,3860,7,"drain end","178","359","463"
