FRP No.,FRP,infection_cpcr-d0,maturity,CW,SC,CH,holdtank,TREATMENT,lowtag,hightag,treattank,where,tube_no,Avg_startq_day01,Avg_startq_day26,infection_status,temperature_treatment,RNAday9,RNAday12,RNAday26
2017-6145,6145,1,I,112.3,3,15.3,9A,A,3232,3323,9,drain end,505,50,112.5,1,ambient,2.34,2.44,NA
2017-6146,6146,0,I,106.1,4,19,8A,A,3237,3399,9,drain end,12,NA,518.3333333333334,NA,NA,NA,4,2.18
2017-6146,6146,0,I,106.1,4,19,9A,A,3237,3399,9,drain end,309,NA,518.3333333333334,NA,NA,NA,4,2.18
2017-6146,6146,0,I,106.1,4,19,9A,A,3237,3399,9,drain end,502,NA,518.3333333333334,NA,NA,NA,4,2.18
2017-6147,6147,0,I,119.5,4,18.3,8A,A,3241,3309,1,drain end,30,7.5,450,NA,NA,NA,3.6,3.64
2017-6147,6147,0,I,119.5,4,18.3,1C,C,3241,3309,1,drain end,204,7.5,450,NA,NA,NA,3.6,3.64
2017-6147,6147,0,I,119.5,4,18.3,1C,C,3241,3309,1,drain end,421,7.5,450,NA,NA,NA,3.6,3.64
2017-6154,6154,0,I,124.3,3,19.3,7A,A,3284,3570,2,drain end,68,1.5,90,0,cold,2.1,2.38,5.04
2017-6154,6154,0,I,124.3,3,19.3,2C,C,3284,3570,2,drain end,232,1.5,90,0,cold,2.1,2.38,5.04
2017-6154,6154,0,I,124.3,3,19.3,2C,C,3284,3570,2,drain end,436,1.5,90,0,cold,2.1,2.38,5.04
2017-6155,6155,1,I,93.1,3,13.6,7A,A,3286,3371,7,drain end,66,100,866.6666666666666,NA,NA,NA,3.71,NA
2017-6155,6155,1,I,93.1,3,13.6,7A,A,3286,3371,7,drain end,358,100,866.6666666666666,NA,NA,NA,3.71,NA
2017-6155,6155,1,I,93.1,3,13.6,7A,A,3286,3371,7,drain end,476,100,866.6666666666666,NA,NA,NA,3.71,NA
2017-6159,6159,1,I,117,3,16.4,8A,A,3311,3551,9,drain end,26,350,247.5,1,ambient,1.38,2,NA
2017-6159,6159,1,I,117,3,16.4,9A,A,3311,3551,9,drain end,313,350,247.5,1,ambient,1.38,2,NA
2017-6159,6159,1,I,117,3,16.4,9A,A,3311,3551,9,drain end,508,350,247.5,1,ambient,1.38,2,NA
2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,55,4.5,73.33333333333333,0,ambient,1.16,1.55,5.16
2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,55,4.5,73.33333333333333,0,ambient,1.16,1.55,5.16
2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,360,4.5,73.33333333333333,0,ambient,1.16,1.55,5.16
2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,360,4.5,73.33333333333333,0,ambient,1.16,1.55,5.16
2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,469,4.5,73.33333333333333,0,ambient,1.16,1.55,5.16
2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,469,4.5,73.33333333333333,0,ambient,1.16,1.55,5.16
2017-6166,6166,0,I,91.8,3,11.3,8A,A,3378,3534,8,drain end,21,0.2,135,0,ambient,1.72,5.56,5.88
2017-6166,6166,0,I,91.8,3,11.3,8A,A,3378,3534,8,drain end,349,0.2,135,0,ambient,1.72,5.56,5.88
2017-6166,6166,0,I,91.8,3,11.3,8A,A,3378,3534,8,drain end,496,0.2,135,0,ambient,1.72,5.56,5.88
2017-6167,6167,0,I,110.7,3,12.4,9A,A,3382,3481,1,drain end,45,466.6666666666667,650,0,cold,5.4,1.88,7.52
2017-6167,6167,0,I,110.7,3,12.4,1C,C,3382,3481,1,drain end,207,466.6666666666667,650,0,cold,5.4,1.88,7.52
2017-6167,6167,0,I,110.7,3,12.4,1C,C,3382,3481,1,drain end,414,466.6666666666667,650,0,cold,5.4,1.88,7.52
2017-6171,6171,0,I,127.4,3,19.3,7A,A,3400,3464,2,drain end,73,375000.25,10,0,cold,5.28,NA,NA
2017-6171,6171,0,I,127.4,3,19.3,2C,C,3400,3464,2,drain end,221,375000.25,10,0,cold,5.28,NA,NA
2017-6171,6171,0,I,127.4,3,19.3,2C,C,3400,3464,2,drain end,427,375000.25,10,0,cold,5.28,NA,NA
2017-6180,6180,0,I,125.4,3,19.5,2C,C,3610,3813,6,anywhere,149,2.533333333333333,100,0,warm,2.51,1.8,1.46
2017-6180,6180,0,I,125.4,3,19.5,6W,W,3610,3813,6,anywhere,370,2.533333333333333,100,0,warm,2.51,1.8,1.46
2017-6180,6180,0,I,125.4,3,19.5,6W,W,3610,3813,6,anywhere,402,2.533333333333333,100,0,warm,2.51,1.8,1.46
2017-6181,6181,0,I,133.4,3,20.4,1C,C,3616,3846,7,drain end,175,0.8,125,0,ambient,1.64,3.32,5.28
