"","Sample_pre","Sample","Cq","Cq_Mean","Cq_Std_Dev","Starting_Quantity","Log_Starting_Quantity","SQ_Mean","SQ_Std_Dev","year-FRP","FRP","run","Comments","sampleday"
"20",34,"34-A01","37.93",37.52,0.582,"6.04E-01","-2.19E-01",0.844,0.339,"2017-6109",6109,"4/27/18 2nd",NA,"day01"
"21",34,"34-A01","37.11",37.52,0.582,"1.08E+00","3.50E-02",0.844,0.339,"2017-6109",6109,"4/27/18 2nd",NA,"day01"
"22",34,"34-H06","29.32",29.03,0.408,"2.71E+02","2.43E+00",340,97.1,"2017-6184",6184,"4/27/18 2nd","33-H11","day01"
"23",34,"34-H06","28.75",29.03,0.408,"4.08E+02","2.61E+00",340,97.1,"2017-6184",6184,"4/27/18 2nd","33-H11","day01"
"24",33,"33-H02","36.13",36.24,0.16,"2.18E+00","3.38E-01",2.01,0.228,"2017-6189",6189,"4/27/18 2nd",NA,"day01"
"25",33,"33-H02","36.35",36.24,0.16,"1.85E+00","2.68E-01",2.01,0.228,"2017-6189",6189,"4/27/18 2nd",NA,"day01"
"26",33,"33-G04","37.3",37.09,0.291,"9.46E-01","-2.40E-02",1.11,0.227,"2017-6157",6157,"4/27/18 2nd",NA,"day01"
"27",33,"33-G04","36.89",37.09,0.291,"1.27E+00","1.03E-01",1.11,0.227,"2017-6157",6157,"4/27/18 2nd",NA,"day01"
"28",33,"33-G02","37.41",37.85,0.626,"8.76E-01","-5.80E-02",0.672,0.289,"2017-6200",6200,"4/27/18 2nd",NA,"day01"
"29",33,"33-G02","38.29",37.85,0.626,"4.67E-01","-3.30E-01",0.672,0.289,"2017-6200",6200,"4/27/18 2nd",NA,"day01"
"30",33,"33-F07","29.91",29.77,0.19,"1.79E+02","2.25E+00",198,26.6,"2017-6220",6220,"4/27/18 2nd",NA,"day01"
"31",33,"33-F07","29.64",29.77,0.19,"2.17E+02","2.34E+00",198,26.6,"2017-6220",6220,"4/27/18 2nd",NA,"day01"
"32",33,"33-F06","37.96",37.96,0,"5.93E-01","-2.27E-01",0.593,0,"2017-6191",6191,"4/27/18 2nd",NA,"day01"
"33",33,"33-F06","N/A",0,0,"N/A","N/A",0,0,"2017-6191",6191,"4/27/18 2nd",NA,"day01"
"34",34,"34-D07","31.39",31.26,0.181,"6.28E+01","1.80E+00",69,8.82,"2017-6125",6125,"4/27/18 2nd","33-D12","day01"
"35",34,"34-D07","31.13",31.26,0.181,"7.52E+01","1.88E+00",69,8.82,"2017-6125",6125,"4/27/18 2nd","33-D12","day01"
"36",34,"34-C07","37.97",37.97,0,"5.89E-01","-2.30E-01",0.589,0,"2017-6180",6180,"4/27/18 2nd","33-C12","day01"
"37",34,"34-C07","N/A",0,0,"N/A","N/A",0,0,"2017-6180",6180,"4/27/18 2nd","33-C12","day01"
"38",33,"33-C06","26.27",26.32,0.068,"2.36E+03","3.37E+00",2280,110,"2017-6183",6183,"4/27/18 2nd","33-C11","day01"
"39",33,"33-C06","26.37",26.32,0.068,"2.20E+03","3.34E+00",2280,110,"2017-6183",6183,"4/27/18 2nd","33-C11","day01"
"40",33,"33-C08","36.41",36.41,0,"1.78E+00","2.49E-01",1.77,0,"2017-6110",6110,"4/27/18 2nd",NA,"day01"
"41",33,"33-C08","N/A",0,0,"N/A","N/A",0,0,"2017-6110",6110,"4/27/18 2nd",NA,"day01"
"42",33,"33-C07","30.07",30.19,0.17,"1.60E+02","2.20E+00",148,17.7,"2017-6251",6251,"4/27/18 2nd",NA,"day01"
"43",33,"33-C07","30.31",30.19,0.17,"1.35E+02","2.13E+00",148,17.7,"2017-6251",6251,"4/27/18 2nd",NA,"day01"
"44",33,"33-C05","37.75",38.17,0.607,"6.90E-01","-1.61E-01",0.533,0.223,"2017-6247",6247,"4/27/18 2nd",NA,"day01"
"45",33,"33-C05","38.6",38.17,0.607,"3.75E-01","-4.26E-01",0.533,0.223,"2017-6247",6247,"4/27/18 2nd",NA,"day01"
"46",34,"34-B06","38.12",38.08,0.055,"5.28E-01","-2.78E-01",0.543,0.0213,"2017-6258",6258,"4/27/18 2nd","33-B11","day01"
"47",34,"34-B06","38.04",38.08,0.055,"5.58E-01","-2.53E-01",0.543,0.0213,"2017-6258",6258,"4/27/18 2nd","33-B11","day01"
"48",32,"32-G07","23.39",23.72,0.472,"1.83E+04","4.26E+00",14800,4880,"2017-6128",6128,"4/27/18 2nd",NA,"day01"
"49",32,"32-G07","24.05",23.72,0.472,"1.14E+04","4.06E+00",14800,4880,"2017-6128",6128,"4/27/18 2nd",NA,"day01"
"50",32,"32-G06","38.6",38.6,0,"3.77E-01","-4.24E-01",0.377,0,"2017-6231",6231,"4/27/18 2nd",NA,"day01"
"51",32,"32-G06","N/A",0,0,"N/A","N/A",0,0,"2017-6231",6231,"4/27/18 2nd",NA,"day01"
"52",32,"32-E11","25.38",25.36,0.025,"4.46E+03","3.65E+00",4510,78.8,"2017-6243",6243,"4/27/18 2nd",NA,"day01"
"53",32,"32-E11","25.34",25.36,0.025,"4.57E+03","3.66E+00",4510,78.8,"2017-6243",6243,"4/27/18 2nd",NA,"day01"
"54",32,"32-E08","35.67",35.97,0.434,"3.02E+00","4.80E-01",2.48,0.753,"2017-6282",6282,"4/27/18 2nd",NA,"day01"
"55",32,"32-E08","36.28",35.97,0.434,"1.95E+00","2.91E-01",2.48,0.753,"2017-6282",6282,"4/27/18 2nd",NA,"day01"
"56",32,"32-E06","30.75",30.68,0.102,"9.85E+01","1.99E+00",104,7.5,"2017-6245",6245,"4/27/18 2nd",NA,"day01"
"57",32,"32-E06","30.61",30.68,0.102,"1.09E+02","2.04E+00",104,7.5,"2017-6245",6245,"4/27/18 2nd",NA,"day01"
"58",32,"32-B08","31.37",32.15,1.104,"6.35E+01","1.80E+00",42.2,30,"2017-6139",6139,"4/27/18 2nd",NA,"day01"
"59",32,"32-B08","32.93",32.15,1.104,"2.10E+01","1.32E+00",42.2,30,"2017-6139",6139,"4/27/18 2nd",NA,"day01"
"60",31,"31-H05","31.11",31.22,0.161,"7.65E+01","1.88E+00",70.7,8.07,"2017-6227",6227,"4/27/18 2nd",NA,"day01"
"61",31,"31-H05","31.34",31.22,0.161,"6.50E+01","1.81E+00",70.7,8.07,"2017-6227",6227,"4/27/18 2nd",NA,"day01"
"62",31,"31-G08","33.3",33.85,0.781,"1.62E+01","1.21E+00",11.8,6.22,"2017-6175",6175,"4/27/18 2nd",NA,"day01"
"63",31,"31-G08","34.4",33.85,0.781,"7.39E+00","8.69E-01",11.8,6.22,"2017-6175",6175,"4/27/18 2nd",NA,"day01"
"64",30,"30-H06","30.23",30.12,0.157,"1.43E+02","2.16E+00",155,17.2,"2017-6242",6242,"4/27/18 2nd",NA,"day01"
"65",30,"30-H06","30",30.12,0.157,"1.67E+02","2.22E+00",155,17.2,"2017-6242",6242,"4/27/18 2nd",NA,"day01"
"66",30,"30-G02","38.21",38.21,0,"4.97E-01","-3.04E-01",0.497,0,"2017-6248",6248,"4/27/18 2nd",NA,"day01"
"67",30,"30-G02","N/A",0,0,"N/A","N/A",0,0,"2017-6248",6248,"4/27/18 2nd",NA,"day01"
"68",30,"30-G01","38.51",38.1,0.58,"4.01E-01","-3.97E-01",0.559,0.224,"2017-6232",6232,"4/27/18 2nd",NA,"day01"
"69",30,"30-G01","37.69",38.1,0.58,"7.17E-01","-1.44E-01",0.559,0.224,"2017-6232",6232,"4/27/18 2nd",NA,"day01"
"70",30,"30-F09","35.25",35.08,0.243,"4.04E+00","6.06E-01",4.6,0.788,"2017-6230",6230,"4/27/18 2nd",NA,"day01"
"71",30,"30-F09","34.91",35.08,0.243,"5.16E+00","7.12E-01",4.6,0.788,"2017-6230",6230,"4/27/18 2nd",NA,"day01"
"72",30,"30-F04","34.09",34.09,0,"9.25E+00","9.66E-01",9.25,0,"2017-6131",6131,"4/27/18 2nd",NA,"day01"
"73",30,"30-F04","N/A",0,0,"N/A","N/A",0,0,"2017-6131",6131,"4/27/18 2nd",NA,"day01"
"74",30,"30-D07","36.07",35.92,0.211,"2.26E+00","3.55E-01",2.53,0.377,"2017-6216",6216,"4/27/18 2nd",NA,"day01"
"75",30,"30-D07","35.77",35.92,0.211,"2.80E+00","4.47E-01",2.53,0.377,"2017-6216",6216,"4/27/18 2nd",NA,"day01"
"76",30,"30-B04","37.42",37.41,0.017,"8.70E-01","-6.10E-02",0.877,0.0108,"2017-6152",6152,"4/27/18 2nd",NA,"day01"
"77",30,"30-B04","37.39",37.41,0.017,"8.85E-01","-5.30E-02",0.877,0.0108,"2017-6152",6152,"4/27/18 2nd",NA,"day01"
"78",30,"30-B03","38.49",37.9,0.842,"4.06E-01","-3.92E-01",0.675,0.381,"2017-6130",6130,"4/27/18 2nd",NA,"day01"
"79",30,"30-B03","37.3",37.9,0.842,"9.44E-01","-2.50E-02",0.675,0.381,"2017-6130",6130,"4/27/18 2nd",NA,"day01"
"80",30,"30-A07","34.95",33.48,2.071,"5.03E+00","7.01E-01",22.6,24.8,"2017-6235",6235,"4/27/18 2nd",NA,"day01"
"81",30,"30-A07","32.02",33.48,2.071,"4.01E+01","1.60E+00",22.6,24.8,"2017-6235",6235,"4/27/18 2nd",NA,"day01"
"82",30,"30-A06","29.4",29.34,0.09,"2.56E+02","2.41E+00",268,17.1,"2017-6167",6167,"4/27/18 2nd",NA,"day01"
"83",30,"30-A06","29.28",29.34,0.09,"2.81E+02","2.45E+00",268,17.1,"2017-6167",6167,"4/27/18 2nd",NA,"day01"
"84",30,"30-A06","28.7",28.67,0.042,"3.51E+02","2.546",359,10.6,"2017-6167",6167,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"85",30,"30-A06","28.64",28.67,0.042,"3.66E+02","2.564",359,10.6,"2017-6167",6167,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"86",30,"30-A07","33.96",34.38,0.6,"8.43E+00","0.926",6.52,2.7,"2017-6235",6235,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"87",30,"30-A07","34.81",34.38,0.6,"4.62E+00","0.664",6.52,2.7,"2017-6235",6235,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"88",30,"30-B03","37.53",37.53,0,"6.72E-01","-0.173",0.672,0,"2017-6130",6130,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"89",30,"30-B03","N/A",0,0,"N/A","N/A",0,0,"2017-6130",6130,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"90",30,"30-B04","37.1",37.1,0,"9.07E-01","-0.043",0.907,0,"2017-6152",6152,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"91",30,"30-B04","N/A",0,0,"N/A","N/A",0,0,"2017-6152",6152,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"92",30,"30-D07","34.69",34.25,0.614,"5.03E+00","0.702",7.17,3.03,"2017-6216",6216,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"93",30,"30-D07","33.82",34.25,0.614,"9.31E+00","0.969",7.17,3.03,"2017-6216",6216,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"94",30,"30-F04","35.2",35.63,0.601,"3.50E+00","0.543",2.7,1.12,"2017-6131",6131,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"95",30,"30-F04","36.05",35.63,0.601,"1.91E+00","0.282",2.7,1.12,"2017-6131",6131,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"96",30,"30-F09","34.07",34.16,0.125,"7.78E+00","0.891",7.32,0.646,"2017-6230",6230,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"97",30,"30-F09","34.25",34.16,0.125,"6.86E+00","0.836",7.32,0.646,"2017-6230",6230,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"98",30,"30-G01","32.31",33.11,1.131,"2.71E+01","1.432",17.9,13,"2017-6232",6232,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"99",30,"30-G01","33.91",33.11,1.131,"8.71E+00","0.94",17.9,13,"2017-6232",6232,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"100",30,"30-G02","38.25",37.73,0.742,"4.01E-01","-0.397",0.623,0.313,"2017-6248",6248,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"101",30,"30-G02","37.21",37.73,0.742,"8.44E-01","-0.073",0.623,0.313,"2017-6248",6248,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"102",30,"30-H06","29.67",29.59,0.114,"1.77E+02","2.247",187,15.1,"2017-6242",6242,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"103",30,"30-H06","29.5",29.59,0.114,"1.98E+02","2.297",187,15.1,"2017-6242",6242,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"104",31,"31-G08","33.77",33.98,0.3,"9.65E+00","0.984",8.4,1.77,"2017-6175",6175,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"105",31,"31-G08","34.19",33.98,0.3,"7.15E+00","0.854",8.4,1.77,"2017-6175",6175,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"106",31,"31-H05","37.15",33.79,4.749,"8.78E-01","-0.057",51.7,71.9,"2017-6227",6227,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"107",31,"31-H05","30.43",33.79,4.749,"1.03E+02","2.011",51.7,71.9,"2017-6227",6227,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"108",32,"32-B08","31.47",31.48,0.014,"4.91E+01","1.691",48.7,0.498,"2017-6139",6139,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"109",32,"32-B08","31.5",31.48,0.014,"4.83E+01","1.684",48.7,0.498,"2017-6139",6139,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"110",32,"32-E06","31.35",31.11,0.344,"5.35E+01","1.728",64.4,15.5,"2017-6245",6245,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"111",32,"32-E06","30.87",31.11,0.344,"7.54E+01","1.878",64.4,15.5,"2017-6245",6245,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"112",32,"32-E08","37.08",37.54,0.65,"9.20E-01","-0.036",0.699,0.311,"2017-6282",6282,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"113",32,"32-E08","38",37.54,0.65,"4.79E-01","-0.319",0.699,0.311,"2017-6282",6282,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"114",32,"32-E11","25.84",25.94,0.147,"2.66E+03","3.425",2480,259,"2017-6243",6243,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"115",32,"32-E11","26.05",25.94,0.147,"2.30E+03","3.361",2480,259,"2017-6243",6243,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"116",32,"32-G01","33.05",33.45,0.563,"1.61E+01","1.206",12.6,4.9,"2017-6281",6281,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"117",32,"32-G01","33.85",33.45,0.563,"9.13E+00","0.961",12.6,4.9,"2017-6281",6281,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"118",32,"32-G06","36.58",37.49,1.279,"1.31E+00","0.118",0.839,0.671,"2017-6231",6231,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"119",32,"32-G06","38.39",37.49,1.279,"3.64E-01","-0.439",0.839,0.671,"2017-6231",6231,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"120",32,"32-G07","23.41",23.53,0.181,"1.50E+04","4.174",13700,1750,"2017-6128",6128,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"121",32,"32-G07","23.66",23.53,0.181,"1.25E+04","4.096",13700,1750,"2017-6128",6128,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"122",32,"32-H06","N/A",0,0,"N/A","N/A",0,0,"2017-6280",6280,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"123",32,"32-H06","38.38",38.38,0,"3.66E-01","-0.436",0.366,0,"2017-6280",6280,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"124",32,"32-H07","N/A",0,0,"N/A","N/A",0,0,"2017-6275",6275,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"125",32,"32-H07","37.25",37.25,0,"8.21E-01","-0.086",0.82,0,"2017-6275",6275,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"126",33,"33-C05","N/A",0,0,"N/A","N/A",0,0,"2017-6247",6247,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"127",33,"33-C05","35.92",35.92,0,"2.10E+00","0.322",2.1,0,"2017-6247",6247,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"128",33,"33-C07","29.99",30.19,0.276,"1.40E+02","2.147",123,24,"2017-6251",6251,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"129",33,"33-C07","30.38",30.19,0.276,"1.06E+02","2.026",123,24,"2017-6251",6251,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"130",33,"33-C08","37.74",36.78,1.358,"5.78E-01","-0.238",1.42,1.19,"2017-6110",6110,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"131",33,"33-C08","35.82",36.78,1.358,"2.26E+00","0.353",1.42,1.19,"2017-6110",6110,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"132",33,"33-E10","20.04",20.06,0.023,"1.62E+05","5.21",160000,2610,"2017-6256",6256,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"133",33,"33-E10","20.07",20.06,0.023,"1.59E+05","5.2",160000,2610,"2017-6256",6256,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"134",33,"33-F06","38.4",37.57,1.186,"3.61E-01","-0.443",0.773,0.582,"2017-6191",6191,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"135",33,"33-F06","36.73",37.57,1.186,"1.19E+00","0.074",0.773,0.582,"2017-6191",6191,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"136",33,"33-F07","28.86",28.79,0.106,"3.12E+02","2.494",330,24.8,"2017-6220",6220,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"137",33,"33-F07","28.71",28.79,0.106,"3.47E+02","2.541",330,24.8,"2017-6220",6220,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"138",33,"33-G02","34.9",35.79,1.265,"4.34E+00","0.637",2.78,2.2,"2017-6200",6200,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"139",33,"33-G02","36.69",35.79,1.265,"1.22E+00","0.086",2.78,2.2,"2017-6200",6200,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"140",33,"33-G04","35.78",36.09,0.438,"2.32E+00","0.365",1.91,0.582,"2017-6157",6157,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"141",33,"33-G04","36.4",36.09,0.438,"1.50E+00","0.175",1.91,0.582,"2017-6157",6157,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"142",33,"33-G08","N/A",0,0,"N/A","N/A",0,0,"2017-6260",6260,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"143",33,"33-G08","36.08",36.08,0,"1.87E+00","0.272",1.87,0,"2017-6260",6260,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"144",33,"33-H02","35.14",34.99,0.211,"3.65E+00","0.562",4.08,0.607,"2017-6189",6189,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"145",33,"33-H02","34.84",34.99,0.211,"4.50E+00","0.654",4.08,0.607,"2017-6189",6189,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"146",33,"33-H08","32.71",32.58,0.189,"2.04E+01","1.309",22.5,3.01,"2017-6257",6257,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"147",33,"33-H08","32.45",32.58,0.189,"2.46E+01","1.392",22.5,3.01,"2017-6257",6257,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"148",34,"34-A01","36.95",37.55,0.854,"1.01E+00","0.005",0.721,0.412,"2017-6109",6109,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"149",34,"34-A01","38.16",37.55,0.854,"4.30E-01","-0.367",0.721,0.412,"2017-6109",6109,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"150",34,"34-B03","29.79",34.2,6.233,"1.62E+02","2.208",81,114,"2017-6121",6121,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"151",34,"34-B03","38.61",34.2,6.233,"3.12E-01","-0.505",81,114,"2017-6121",6121,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"152",34,"34-B04","37.58",30.37,10.199,"6.48E-01","-0.188",8930,12600,"2017-6112",6112,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"153",34,"34-B04","23.15",30.37,10.199,"1.79E+04","4.252",8930,12600,"2017-6112",6112,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"154",34,"34-F02","37.27",37.27,0.003,"8.07E-01","-0.093",0.809,0.00192,"2017-6143",6143,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"155",34,"34-F02","37.26",37.27,0.003,"8.10E-01","-0.092",0.809,0.00192,"2017-6143",6143,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"156",34,"34-F04","N/A",0,0,"N/A","N/A",0,0,"2017-6253",6253,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"157",34,"34-F04","N/A",0,0,"N/A","N/A",0,0,"2017-6253",6253,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"158",34,"34-H01","33.43",31.44,2.811,"1.23E+01","1.089",109,137,"2017-6140",6140,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"159",34,"34-H01","29.45",31.44,2.811,"2.06E+02","2.313",109,137,"2017-6140",6140,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"160",34,"34-H02","37.79",37.79,0,"5.58E-01","-0.254",0.558,0,"2017-6246",6246,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"161",34,"34-H02","N/A",0,0,"N/A","N/A",0,0,"2017-6246",6246,"4/27/18 first","NTC amp'd; can only use neg samples","day01"
"162",37,"37-D02","30.61",30.52,0.129,"9.05E+01","1.956",96.7,8.86,"2017-6207",6207,"4/27/18 first","NTC amp'd; can only use neg samples","day26"
"163",37,"37-D02","30.43",30.52,0.129,"1.03E+02","2.013",96.7,8.86,"2017-6207",6207,"4/27/18 first","NTC amp'd; can only use neg samples","day26"
"164",31,"31-B06","26.33",26.18,0.217,"3.00E+03","3.48E+00",3360,515,"2017-6129",6129,"4/25/18 fourth",NA,"day01"
"165",31,"31-B06","26.03",26.18,0.217,"3.73E+03","3.57E+00",3360,515,"2017-6129",6129,"4/25/18 fourth",NA,"day01"
"166",31,"31-A04","24.05",24.04,0.021,"1.51E+04","4.18E+00",15300,225,"2017-6241",6241,"4/25/18 fourth",NA,"day01"
"167",31,"31-A04","24.02",24.04,0.021,"1.55E+04","4.19E+00",15300,225,"2017-6241",6241,"4/25/18 fourth",NA,"day01"
"168",30,"30-F12","28.71",28.92,0.294,"5.56E+02","2.75E+00",485,100,"2017-6144",6144,"4/25/18 fourth",NA,"day01"
"169",30,"30-F12","29.13",28.92,0.294,"4.14E+02","2.62E+00",485,100,"2017-6144",6144,"4/25/18 fourth",NA,"day01"
"170",30,"30-E01","30.17",30.25,0.117,"1.98E+02","2.30E+00",187,15.5,"2017-6127",6127,"4/25/18 fourth",NA,"day01"
"171",30,"30-E01","30.33",30.25,0.117,"1.76E+02","2.25E+00",187,15.5,"2017-6127",6127,"4/25/18 fourth",NA,"day01"
"172",30,"30-B06","37.25",37.25,0,"1.31E+00","1.16E-01",1.31,0,"2017-6176",6176,"4/25/18 fourth",NA,"day01"
"173",30,"30-B06","N/A",0,0,"N/A","N/A",0,0,"2017-6176",6176,"4/25/18 fourth",NA,"day01"
"174",31,"31-B04","28.58",28.57,0.005,"6.11E+02","2.79E+00",612,1.98,"2017-6162",6162,"4/25/18 fourth",NA,"day01"
"175",31,"31-B04","28.57",28.57,0.005,"6.14E+02","2.79E+00",612,1.98,"2017-6162",6162,"4/25/18 fourth",NA,"day01"
"176",31,"31-A03","33.12",33.17,0.067,"2.44E+01","1.39E+00",23.6,1.12,"2017-6113",6113,"4/25/18 fourth",NA,"day01"
"177",31,"31-A03","33.22",33.17,0.067,"2.28E+01","1.36E+00",23.6,1.12,"2017-6113",6113,"4/25/18 fourth",NA,"day01"
"178",30,"30-F11","30.85",31.12,0.383,"1.22E+02","2.09E+00",103,27.6,"2017-6153",6153,"4/25/18 fourth",NA,"day01"
"179",30,"30-F11","31.39",31.12,0.383,"8.34E+01","1.92E+00",103,27.6,"2017-6153",6153,"4/25/18 fourth",NA,"day01"
"180",30,"30-D12","N/A",0,0,"N/A","N/A",0,0,"2017-6146",6146,"4/25/18 fourth",NA,"day01"
"181",30,"30-D12","N/A",0,0,"N/A","N/A",0,0,"2017-6146",6146,"4/25/18 fourth",NA,"day01"
"182",31,"31-B02","28.27",28.24,0.039,"7.60E+02","2.88E+00",775,21.4,"2017-6148",6148,"4/25/18 fourth",NA,"day01"
"183",31,"31-B02","28.21",28.24,0.039,"7.90E+02","2.90E+00",775,21.4,"2017-6148",6148,"4/25/18 fourth",NA,"day01"
"184",30,"30-D08","30.01",30.1,0.138,"2.22E+02","2.35E+00",208,20.3,"2017-6174",6174,"4/25/18 fourth",NA,"day01"
"185",30,"30-D08","30.2",30.1,0.138,"1.93E+02","2.29E+00",208,20.3,"2017-6174",6174,"4/25/18 fourth",NA,"day01"
"186",31,"31-A11","30.44",30.4,0.045,"1.64E+02","2.21E+00",167,5.39,"2017-6137",6137,"4/25/18 fourth",NA,"day01"
"187",31,"31-A11","30.37",30.4,0.045,"1.71E+02","2.23E+00",167,5.39,"2017-6137",6137,"4/25/18 fourth",NA,"day01"
"188",30,"30-H04","38.08",38.08,0,"7.24E-01","-1.40E-01",0.724,0,"2017-6276",6276,"4/25/18 fourth",NA,"day01"
"189",30,"30-H04","N/A",0,0,"N/A","N/A",0,0,"2017-6276",6276,"4/25/18 fourth",NA,"day01"
"190",30,"30-F07","39.81",39.81,0,"2.13E-01","-6.72E-01",0.213,0,"2017-6179",6179,"4/25/18 fourth",NA,"day01"
"191",30,"30-F07","N/A",0,0,"N/A","N/A",0,0,"2017-6179",6179,"4/25/18 fourth",NA,"day01"
"192",31,"31-A10","39.21",39.21,0,"3.26E-01","-4.87E-01",0.326,0,"2017-6161",6161,"4/25/18 fourth",NA,"day01"
"193",31,"31-A10","N/A",0,0,"N/A","N/A",0,0,"2017-6161",6161,"4/25/18 fourth",NA,"day01"
"194",30,"30-H03","30.14",30.38,0.333,"2.02E+02","2.31E+00",173,40.5,"2017-6103",6103,"4/25/18 fourth",NA,"day01"
"195",30,"30-H03","30.61",30.38,0.333,"1.45E+02","2.16E+00",173,40.5,"2017-6103",6103,"4/25/18 fourth",NA,"day01"
"196",30,"30-D01","31.72",31.71,0.014,"6.57E+01","1.82E+00",66.2,0.636,"2017-6105",6105,"4/25/18 fourth",NA,"day01"
"197",30,"30-D01","31.7",31.71,0.014,"6.66E+01","1.82E+00",66.2,0.636,"2017-6105",6105,"4/25/18 fourth",NA,"day01"
"198",31,"31-A09","28.97",29.11,0.197,"4.63E+02","2.67E+00",422,58.7,"2017-6116",6116,"4/25/18 fourth",NA,"day01"
"199",31,"31-A09","29.25",29.11,0.197,"3.80E+02","2.58E+00",422,58.7,"2017-6116",6116,"4/25/18 fourth",NA,"day01"
"200",30,"30-G12","27.44",27.48,0.063,"1.37E+03","3.14E+00",1330,59.4,"2017-6237",6237,"4/25/18 fourth",NA,"day01"
"201",30,"30-G12","27.53",27.48,0.063,"1.29E+03","3.11E+00",1330,59.4,"2017-6237",6237,"4/25/18 fourth",NA,"day01"
"202",30,"30-E12","28.04",27.97,0.094,"8.94E+02","2.95E+00",939,62.8,"2017-6279",6279,"4/25/18 fourth",NA,"day01"
