FRP No.	FRP	infection_cpcr-d0	maturity	CW	SC	CH	holdtank	TREATMENT	lowtag	hightag	treattank	where	tube_no
2017-6126	6126	1	I	109	3	14.6	7A	A	3108	3501	1	drain end	79
2017-6126	6126	1	I	109	3	14.6	1C	C	3108	3501	1	drain end	201
2017-6126	6126	1	I	109	3	14.6	1C	C	3108	3501	1	drain end	418
2017-6127	6127	0	I	108.4	3	19.3	9A	A	3110	3255	8	drain end	37
2017-6127	6127	0	I	108.4	3	19.3	8A	A	3110	3255	8	drain end	335
2017-6127	6127	0	I	108.4	3	19.3	8A	A	3110	3255	8	drain end	497
2017-6128	6128	1	I	121	3	18.6	3C	C	3113	3179	2	drain end	112
2017-6128	6128	1	I	121	3	18.6	2C	C	3113	3179	2	drain end	231
2017-6128	6128	1	I	121	3	18.6	2C	C	3113	3179	2	drain end	441
2017-6129	6129	1	I	114.1	3	16.8	7A	A	3129	3137	5	drain end	86
2017-6129	6129	1	I	114.1	3	16.8	5W	W	3129	3137	5	drain end	299
2017-6129	6129	1	I	114.1	3	16.8	5W	W	3129	3137	5	drain end	403
2017-6130	6130	0	I	111.4	3	11.8	9A	A	3134	3208	8	drain end	47
2017-6130	6130	0	I	111.4	3	11.8	8A	A	3134	3208	8	drain end	339
2017-6130	6130	0	I	111.4	3	11.8	8A	A	3134	3208	8	drain end	498
2017-6131	6131	0	I	107.4	3	19.1	9A	A	3147	3563	9	drain end	38
2017-6131	6131	0	I	107.4	3	19.1	9A	A	3147	3563	9	drain end	314
2017-6131	6131	0	I	107.4	3	19.1	9A	A	3147	3563	9	drain end	507
2017-6132	6132	0	I	133.7	3	22.1	7A	A	3149	3436	1	drain end	88
2017-6132	6132	0	I	133.7	3	22.1	1C	C	3149	3436	1	drain end	205
2017-6132	6132	0	I	133.7	3	22.1	1C	C	3149	3436	1	drain end	406
2017-6133	6133	0	I	103.6	4	11.8	9A	A	3160	3273	2	drain end	36
2017-6133	6133	0	I	103.6	4	11.8	2C	C	3160	3273	2	drain end	223
2017-6133	6133	0	I	103.6	4	11.8	2C	C	3160	3273	2	drain end	434
2017-6134	6134	1	I	115.1	3	14.6	7A	A	3165	3254	7	drain end	77
2017-6134	6134	1	I	115.1	3	14.6	7A	A	3165	3254	7	drain end	353
2017-6134	6134	1	I	115.1	3	14.6	7A	A	3165	3254	7	drain end	465
2017-6135	6135	1	I	130.8	4	30.1	8A	A	3166	3433	8	drain end	4
2017-6135	6135	1	I	130.8	4	30.1	8A	A	3166	3433	8	drain end	327
2017-6135	6135	1	I	130.8	4	30.1	8A	A	3166	3433	8	drain end	492
2017-6136	6136	0	M	113.6	3	21.6	7A	A	3171	3557	8	drain end	91
2017-6136	6136	0	M	113.6	3	21.6	8A	A	3171	3557	8	drain end	321
2017-6136	6136	0	M	113.6	3	21.6	8A	A	3171	3557	8	drain end	491
2017-6137	6137	1	I	96.9	3	13	7A	A	3172	3374	9	drain end	81
2017-6137	6137	1	I	96.9	3	13	9A	A	3172	3374	9	drain end	301
2017-6137	6137	1	I	96.9	3	13	9A	A	3172	3374	9	drain end	500
2017-6138	6138	0	I	118.8	3	18	7A	A	3173	3495	3	drain end	80
2017-6138	6138	0	I	118.8	3	18	3C	C	3173	3495	3	drain end	247
2017-6138	6138	0	I	118.8	3	18	3C	C	3173	3495	3	drain end	453
2017-6139	6139	3	M	128	3	28.5	3C	C	3181	3252	8	drain end	104
2017-6139	6139	3	M	128	3	28.5	8A	A	3181	3252	8	drain end	332
2017-6139	6139	3	M	128	3	28.5	8A	A	3181	3252	8	drain end	493
2017-6140	6140	1	I	110	3	15	8A	A	3183	3187	2	drain end	8
2017-6140	6140	1	I	110	3	15	2C	C	3183	3187	2	drain end	237
2017-6140	6140	1	I	110	3	15	2C	C	3183	3187	2	drain end	429
2017-6141	6141	1	I	122.9	3	18.9	3C	C	3200	3402	3	drain end	123
2017-6141	6141	1	I	122.9	3	18.9	3C	C	3200	3402	3	drain end	249
2017-6141	6141	1	I	122.9	3	18.9	3C	C	3200	3402	3	drain end	451
2017-6142	6142	0	I	96.5	3	14.3	7A	A	3203	3230	7	drain end	65
2017-6142	6142	0	I	96.5	3	14.3	7A	A	3203	3230	7	drain end	346
2017-6142	6142	0	I	96.5	3	14.3	7A	A	3203	3230	7	drain end	474
2017-6143	6143	0	M	118.8	4	22.3	8A	A	3216	3451	7	drain end	10
2017-6143	6143	0	M	118.8	4	22.3	7A	A	3216	3451	7	drain end	343
2017-6143	6143	0	M	118.8	4	22.3	7A	A	3216	3451	7	drain end	479
