FRP No.	FRP	infection_cpcr-d0	maturity	CW	SC	CH	holdtank	TREATMENT	lowtag	hightag	treattank	where	tube_no
2017-6211	6211	1	I	128.8	3	19	3C	C	3724	3890	7	drain end	118
2017-6211	6211	1	I	128.8	3	19	7A	A	3724	3890	7	drain end	349
2017-6211	6211	1	I	128.8	3	19	7A	A	3724	3890	7	drain end	481
2017-6212	6212	1	I	145	3	21.1	3C	C	3725	3912	8	drain end	132
2017-6212	6212	1	I	145	3	21.1	8A	A	3725	3912	8	drain end	334
2017-6212	6212	1	I	145	3	21.1	8A	A	3725	3912	8	drain end	485
2017-6213	6213	0	I	124.3	3	21.6	3C	C	3904	3906	9	drain end	108
2017-6213	6213	0	I	124.3	3	21.6	9A	A	3904	3906	9	drain end	310
2017-6213	6213	0	I	124.3	3	21.6	9A	A	3904	3906	9	drain end	506
2017-6214	6214	1	I	129.1	3	18.9	3C	C	3905	3920	9	drain end	107
2017-6214	6214	1	I	129.1	3	18.9	9A	A	3905	3920	9	drain end	311
2017-6214	6214	1	I	129.1	3	18.9	9A	A	3905	3920	9	drain end	504
2017-6215	6215	1	I	112.3	3	15.1	8A	A	3120	3516	3	drain end	23
2017-6215	6215	1	I				3C	C	3423	3516	3	drain end	253
2017-6215	6215	1	I				3C	C	3423	3516	3	drain end	457
2017-6216	6216	0	I	113	4	20.1	9A	A	3015	3344	4	anywhere	40
2017-6216	6216	0	I	113	4	20.1	4W	W	3015	3344	4	anywhere	267
2017-6217	6217	0	I	123.1	3	20	3C	C	3022	3164	5	anywhere	129
2017-6217	6217	0	I	123.1	3	20	5W	W	3022	3164	5	anywhere	285
2017-6218	6218	3	I	118.3	3	17.9	1C	C	3038	3289	6	drain end	93
2017-6218	6218	3	I	118.3	3	17.9	6W	W	3038	3289	6	drain end	373
2017-6219	6219	1	I	125.1	3	18.7	3C	C	3043	3135	4	anywhere	116
2017-6219	6219	1	I	125.1	3	18.7	4W	W	3043	3135	4	anywhere	276
2017-6220	6220	1	I	82	3	6.7	1C	C	3047	3278	5	anywhere	162
2017-6220	6220	1	I	82	3	6.7	5W	W	3047	3278	5	anywhere	293
2017-6221	6221	1	I	113.2	3	15.7	8A	A	3051	3535	6	anywhere	16
2017-6221	6221	1	I	113.2	3	15.7	6W	W	3051	3535	6	anywhere	380
2017-6222	6222	0	M	117.6	4	26.6	8A	A	3057	3445	4	anywhere	1
2017-6222	6222	0	M	117.6	4	26.6	4W	W	3057	3445	4	anywhere	266
2017-6223	6223	0	M	113.7	3	22.1	9A	A	3080	3511	4	anywhere	44
2017-6223	6223	0	M	113.7	3	22.1	4W	W	3080	3511	4	anywhere	270
2017-6224	6224	1	I	122	3	17.1	7A	A	3083	3429	4	drain end	74
2017-6224	6224	1	I	122	3	17.1	4W	W	3083	3429	4	drain end	277
2017-6225	6225	1	I	118.2	3	15.2	7A	A	3084	3377	5	drain end	92
2017-6225	6225	1	I	118.2	3	15.2	5W	W	3084	3377	5	drain end	298
2017-6226	6226	0	I	124.8	3	18.8	7A	A	3085	3233	4	drain end	85
2017-6226	6226	0	I	124.8	3	18.8	4W	W	3085	3233	4	drain end	260
2017-6227	6227	1	I	116.7	3	17	7A	A	3086	3155	6	drain end	83
2017-6227	6227	1	I	116.7	3	17	6W	W	3086	3155	6	drain end	366
2017-6228	6228	0	I	127.7	4	19.4	8A	A	3087	3462	5	anywhere	29
2017-6228	6228	0	I	127.7	4	19.4	5W	W	3087	3462	5	anywhere	290
2017-6229	6229	0	I	109.4	3	13.9	7A	A	3090	3496	6	drain end	89
2017-6229	6229	0	I	109.4	3	13.9	6W	W	3090	3496	6	drain end	379
2017-6230	6230	0	M	114.5	4	24.1	8A	A	3118	3474	5	anywhere	22
2017-6230	6230	0	M	114.5	4	24.1	5W	W	3118	3474	5	anywhere	292
2017-6231	6231	1	I	133.6	3	22.6	3C	C	3122	3163	4	anywhere	102
2017-6231	6231	1	I	133.6	3	22.6	4W	W	3122	3163	4	anywhere	278
2017-6232	6232	0	M	119.4	3	23	9A	A	3144	3319	5	anywhere	52
2017-6232	6232	0	M	119.4	3	23	5W	W	3144	3319	5	anywhere	286
2017-6233	6233	1	I	108	3	16.1	3C	C	3148	3256	6	anywhere	117
2017-6233	6233	1	I	108	3	16.1	6W	W	3148	3256	6	anywhere	371
2017-6234	6234	0	I	127.4	4	18.2	8A	A	3177	3283	4	anywhere	2
2017-6234	6234	0	I	127.4	4	18.2	4W	W	3177	3283	4	anywhere	263
2017-6235	6235	0	I	110.3	4	18.7	9A	A	3188	3223	5	anywhere	35
2017-6235	6235	0	I	110.3	4	18.7	5W	W	3188	3223	5	anywhere	297
2017-6236	6236	0	I	118.7	3	19	1C	C	3195	3350	6	anywhere	157
2017-6236	6236	0	I	118.7	3	19	6W	W	3195	3350	6	anywhere	361
2017-6237	6237	1	I	115.3	3	15.7	8A	A	3202	3549	4	anywhere	17
2017-6237	6237	1	I	115.3	3	15.7	4W	W	3202	3549	4	anywhere	271
2017-6238	6238	0	M	118.6	4	24.3	8A	A	3205	3243	6	anywhere	9
2017-6238	6238	0	M	118.6	4	24.3	6W	W	3205	3243	6	anywhere	375
2017-6239	6239	1	I	87.3	3	12.1	1C	C	3212	3562	5	anywhere	166
2017-6239	6239	1	I	87.3	3	12.1	5W	W	3212	3562	5	anywhere	291
2017-6240	6240	1	I	125.2	3	20.1	3C	C	3213	3418	6	anywhere	134
2017-6240	6240	1	I	125.2	3	20.1	6W	W	3213	3218	6	anywhere	362
2017-6241	6241	1	I	114.1	3	16.6	7A	A	3226	3489	8	drain end	62
2017-6241	6241	1	I	114.1	3	16.6	8A	A	3226	3489	8	drain end	323
2017-6242	6242	0	M	111.9	4	20.9	9A	A	3269	3360	6	anywhere	39
2017-6242	6242	0	M	111.9	4	20.9	6W	W	3269	3360	6	anywhere	377
2017-6243	6243	1	I	95.7	4	12.7	1C	C	3271	3290	4	anywhere	173
2017-6243	6243	1	I	95.7	4	12.7	4W	W	3271	3290	4	anywhere	272
2017-6244	6244	1	I	119.3	3	19	7A	A	3272	3393	5	anywhere	58
2017-6244	6244	1	I	119.3	3	19	5W	W	3272	3393	5	anywhere	284
2017-6245	6245	1	I	122.6	3	18.4	3C	C	3280	3368	6	anywhere	126
2017-6245	6245	1	I	122.6	3	18.4	6W	W	3280	3368	6	anywhere	365
2017-6246	6246	0	I	116	3	18.1	8A	A	3299	3383	4	anywhere	3
2017-6246	6246	0	I	116	3	18.1	4W	W	3299	3383	4	anywhere	265
2017-6247	6247	0	I	118.4	3	19.4	1C	C	3315	3500	5	anywhere	152
2017-6247	6247	0	I	118.4	3	19.4	5W	W	3315	3500	5	anywhere	287
2017-6248	6248	0	I	111.6	4	19.8	9A	A	3316	3435	6	anywhere	49
2017-6248	6248	0	I	111.6	4	19.8	6W	W	3316	3435	6	anywhere	378
2017-6249	6249	1	I	102.1	3	14.3	1C	C	3353	3446	4	anywhere	96
2017-6249	6249	1	I	102.1	3	14.3	4W	W	3353	3446	4	anywhere	279
2017-6250	6250	1	I	111.8	3	15	7A	A	3373	3406	5	anywhere	72
2017-6250	6250	1	I	111.8	3	15	5W	W	3373	3406	5	anywhere	294
2017-6251	6251	1	I	97.6	3	13.2	1C	C	3375	3478	6	anywhere	167
2017-6251	6251	1	I	97.6	3	13.2	6W	W	3375	3478	6	anywhere	376
2017-6252	6252	3	M	99.1	3	19.3	8A	A	3492	3731	8	drain end	99
2017-6252	6252	3	M	99.1	3	19.3	8A	A	3492	3731	8	drain end	330
2017-6253	6253	0	I	86.9	3	9.9	8A	A	3566	3571	4	anywhere	25
2017-6253	6253	0	I	86.9	3	9.9	4W	W	3566	3571	4	anywhere	275
2017-6254	6254	0	I	119.7	3	19.9	7A	A	3567	3595	5	anywhere	69
2017-6254	6254	0	I	119.7	3	19.9	5W	W	3567	3595	5	anywhere	296
2017-6255	6255	1	I	132.8	3	19	2C	C	3601	3810	4	anywhere	143
2017-6255	6255	1	I	132.8	3	19	4W	W	3601	3810	4	anywhere	262
2017-6256	6256	1	I	128.4	3	19.2	2C	C	3608	3845	5	anywhere	146
2017-6256	6256	1	I	128.4	3	19.2	5W	W	3608	3845	5	anywhere	283
2017-6257	6257	1	I	123	3	16.7	2C	C	3614	3800	6	anywhere	138
2017-6257	6257	1	I	123	3	16.7	6W	W	3614	3800	6	anywhere	363
2017-6258	6258	3	M	126.4	3	27.4	2C	C	3618	3806	4	anywhere	140
2017-6258	6258	3	M	126.4	3	27.4	4W	W	3618	3806	4	anywhere	261
2017-6259	6259	0	M	134.7	3	27.9	2C	C	3621	3818	5	anywhere	139
2017-6259	6259	0	M	134.7	3	27.9	5W	W	3621	3818	5	anywhere	281
2017-6260	6260	0	M	127.3	3	25.9	2C	C	3631	3832	6	anywhere	136
2017-6260	6260	0	M	127.3	3	25.9	6W	W	3631	3832	6	anywhere	374
2017-6261	6261	1	I	126.9	3	18.9	1C	C	3650	3851	4	anywhere	164
2017-6261	6261	1	I	126.9	3	18.9	4W	W	3650	3851	4	anywhere	273
2017-6262	6262	1	I	135.5	3	20.7	1C	C	3651	3856	5	anywhere	168
2017-6262	6262	1	I	135.5	3	20.7	5W	W	3651	3856	5	anywhere	289
2017-6263	6263	1	I	129.2	3	20.6	1C	C	3653	3857	6	anywhere	179
2017-6263	6263	1	I	129.2	3	20.6	6W	W	3653	3857	6	anywhere	368
2017-6264	6264	0	I	125	3	20.7	1C	C	3660	3863	4	anywhere	180
2017-6264	6264	0	I	125	3	20.7	4W	W	3660	3863	4	anywhere	268
2017-6265	6265	0	I	133	3	22.4	1C	C	3669	3874	5	anywhere	155
2017-6265	6265	0	I	133	3	22.4	5W	W	3669	3874	5	anywhere	282
2017-6266	6266	1	I	136.6	3	22	1C	C	3671	3875	4	anywhere	156
2017-6266	6266	1	I	136.6	3	22	4W	W	3671	3875	4	anywhere	264
2017-6267	6267	1	I	133	3	19.7	1C	C	3672	3876	5	anywhere	159
2017-6267	6267	1	I	133	3	19.7	5W	W	3672	3876	5	anywhere	288
2017-6268	6268	0	I	130	3	20.4	1C	C	3673	3877	6	anywhere	97
2017-6268	6268	0	I	130	3	20.4	6W	W	3673	3877	6	anywhere	369
2017-6269	6269	1	I	145.6	3	22.4	1C	C	3677	3880	6	anywhere	160
2017-6269	6269	1	I	145.6	3	22.4	6W	W	3677	3880	6	anywhere	364
2017-6270	6270	0	M	129.8	4	28.8	3C	C	3702	3902	4	anywhere	131
2017-6270	6270	0	M	129.8	4	28.8	4W	W	3702	3902	4	anywhere	269
2017-6271	6271	0	M	134.1	3	26	3C	C	3708	3717	5	anywhere	105
2017-6271	6271	0	M	134.1	3	26	5W	W	3708	3717	5	anywhere	295
2017-6272	6272	0	I	124.5	3	20.6	3C	C	3715	3719	8	drain end	111
2017-6272	6272	0	I	124.5	3	20.6	8A	A	3715	3719	8	drain end	338
2017-6273	6273	1	I	133.7	3	19.7	3C	C	3720	3915	5	anywhere	127
2017-6273	6273	1	I	133.7	3	19.7	5W	W	3720	3915	5	anywhere	280
2017-6274	6274	1	I	131.8	3	19.5	3C	C	3721	3908	6	anywhere	122
2017-6274	6274	1	I	131.8	3	19.5	6W	W	3721	3908	6	anywhere	367
2017-6275	6275	3	M	127.1	3	26.9	3C	C	3727	3911	6	anywhere	110
2017-6275	6275	3	M	127.1	3	26.9	6W	W	3727	3911	6	anywhere	372
2017-6276	6276	0	I	112	4	19.5	9A	A	3381	3517	9	drain end	50
2017-6277	6277	0	I	126.3	3	22.7	1C	C	3652	3855	3	drain end	177
2017-6278	6278	1	I	128.4	4	18	2C	C	3633	3812	1	drain end	147
2017-6278	6278	1	I	128.4	4	18	1C	C	3633	3812	1	drain end	
2017-6278	6278	1	I	128.4	4	18	1C	C	3633	3812	1	drain end	413
2017-6279	6279	1	I	111.6	3	13.9	8A	A	3182	3184	1	drain end	13
2017-6279	6279	1	I	111.6	3	13.9	1C	C	3182	3184	1	drain end	219
2017-6279	6279	1	I	111.6	3	13.9	1C	C	3182	3184	1	drain end	411
2017-6280	6280	3	I						3114	3133	1	drain end	test1
2017-6281	6281	3	I	131.4	3	22.6			3712	3726	1	drain end	test2
2017-6282	6282	3	M	129.5	3	26.9			3016	3424	1	drain end	test3
